Refactor - Java,Change Method Signature,Alt+Shift+C,In Windows,org.eclipse.jdt.ui.edit.text.java.modify.method.parameters
Search,Show Occurrences in File Quick Menu,Ctrl+Shift+U,JavaScript View,org.eclipse.wst.jsdt.ui.edit.text.java.search.occurrences.in.file.quickMenu
File,New,Ctrl+N,In Windows,org.eclipse.ui.newWizard
Terminal view commands,Maximize Active View or Editor,Alt+Up,Terminal Control in Focus,org.eclipse.tm.terminal.maximize
Run/Debug,Java Breakpoint Properties,Alt+Enter,In Breakpoints View,org.eclipse.jdt.debug.ui.breakpoint.properties
Terminal view commands,Quick Access,Alt+Right,Terminal Control in Focus,org.eclipse.tm.terminal.quickaccess
File,Save All,Ctrl+Shift+S,In Windows,org.eclipse.ui.file.saveAll
Run/Debug,Skip All Breakpoints,Ctrl+Alt+B,In Windows,org.eclipse.debug.ui.commands.SkipAllBreakpoints
Edit,Add Maven Dependency,Ctrl+Shift+D,Editing XML Source,org.eclipse.m2e.core.ui.command.addDependency
Uncategorized,Find References,Ctrl+Shift+G,in Generic Code Editor,org.eclipse.ui.genericeditor.findReferences
File,New menu,Alt+Shift+N,In Windows,org.eclipse.ui.file.newQuickMenu
Source,Quick Assist - Extract method,"Ctrl+2, M",Editing Java Source,org.eclipse.jdt.ui.correction.extractMethodInplace.assist
File,Close All,Ctrl+Shift+W,In Windows,org.eclipse.ui.file.closeAll
Server,Debug,Ctrl+Alt+D,In Servers View,org.eclipse.wst.server.debug
YEdit,Toggle Comment,Ctrl+/,YEdit editor context,org.dadacoalition.yedit.commands.toggleComment
Text Editing,Collapse,Ctrl+Numpad_Subtract,Editing Text,org.eclipse.ui.edit.text.folding.collapse
Navigate,Go to Next Member,Ctrl+Shift+Down,Editing JavaScript Source,org.eclipse.wst.jsdt.ui.edit.text.java.goto.next.member
Navigate,Previous,"Ctrl+,",In Windows,org.eclipse.ui.navigate.previous
Run/Debug,Run Eclipse Application,"Alt+Shift+X, E",In Windows,org.eclipse.pde.ui.runtimeWorkbenchShortcut.run
Navigate,Go to Line,Ctrl+L,Editing Text,org.eclipse.ui.edit.text.goto.line
Source,Show Source Quick Menu,Alt+Shift+S,In Windows,org.eclipse.jdt.ui.edit.text.java.source.quickMenu
Run/Debug,Debug Java Application,"Alt+Shift+D, J",In Windows,org.eclipse.jdt.debug.ui.localJavaShortcut.debug
Source,Toggle Comment,Ctrl+Shift+C,Editing Properties Files,org.eclipse.jdt.ui.edit.text.java.toggle.comment
Navigate,Quick Outline,Ctrl+O,WikiText Markup Source Context,org.eclipse.mylyn.wikitext.ui.quickOutlineCommand
Source,Remove Occurrence Annotations,Alt+Shift+U,Editing JavaScript Source,org.eclipse.wst.jsdt.ui.edit.text.remove.occurrence.annotations
Navigate,Previous Tab,Ctrl+PageUp,In Dialogs and Windows,org.eclipse.ui.navigate.previousTab
Text Editing,Select Next Word,Ctrl+Shift+Right,Editing Text,org.eclipse.ui.edit.text.select.wordNext
Edit,Cut,Shift+Delete,In Dialogs and Windows,org.eclipse.ui.edit.cut
Run/Debug,Run Java Application,"Alt+Shift+X, J",In Windows,org.eclipse.jdt.debug.ui.localJavaShortcut.run
Edit,Word Completion,Alt+/,Editing Text,org.eclipse.ui.edit.text.hippieCompletion
Navigate,Previous Sub-Tab,Alt+PageUp,In Dialogs and Windows,org.eclipse.ui.navigate.previousSubTab
Text Editing,Zoom Out,Ctrl+-,Editing Text,org.eclipse.ui.edit.text.zoomOut
Edit,Format,Ctrl+Shift+F,Editing in Structured Text Editors,org.eclipse.wst.sse.ui.format.document
Navigate,Go to Previous Member,Ctrl+Shift+Up,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.goto.previous.member
Navigate,Next Edit Location,Ctrl+Alt+Right,In Windows,org.eclipse.ui.edit.text.gotoNextEditPosition
Views,Show View (Cheat Sheets),"Alt+Shift+Q, H",In Windows,org.eclipse.ui.views.showView
Run/Debug,Toggle Breakpoint,Ctrl+Shift+B,In Windows,org.eclipse.debug.ui.commands.ToggleBreakpoint
Run/Debug,Go to Address,Ctrl+G,In Table Memory Rendering,org.eclipse.debug.ui.command.gotoaddress
Navigate,Backward History,Alt+Left,In Windows,org.eclipse.ui.navigate.backwardHistory
Run/Debug,Next Memory Monitor,Ctrl+Alt+N,In Memory View,org.eclipse.debug.ui.commands.nextMemoryBlock
Text Editing,Delete Line,Ctrl+D,Editing Text,org.eclipse.ui.edit.text.delete.line
Navigate,Expand All,Ctrl+Shift+Numpad_Multiply,In Windows,org.eclipse.ui.navigate.expandAll
Terminal view commands,Terminal view insert,Alt+H,Terminal Typing Connected,org.eclipse.tm.terminal.command1
ANSI Support Commands,Copy Text Without ANSI Escapes,Ctrl+Insert,In Console View,AnsiConsole.command.copy_without_escapes
Text Editing,Zoom In,Ctrl+=,Editing Text,org.eclipse.ui.edit.text.zoomIn
Text Editing,Expand,Ctrl+Numpad_Add,Editing Text,org.eclipse.ui.edit.text.folding.expand
Edit,Toggle Block Selection,Alt+Shift+A,Editing Text,org.eclipse.ui.edit.text.toggleBlockSelectionMode
Uncategorized,Add Artifact to Target Platform,Ctrl+Alt+Shift+A,In Windows,org.eclipse.pde.ui.searchTargetRepositories
Edit,Restore Last Selection,Alt+Shift+Down,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.select.last
Source,Quick Assist - Assign to variable in new try-with-resources block,"Ctrl+2, T",Editing Java Source,org.eclipse.jdt.ui.correction.assignInTryWithResources.assist
Terminal view commands,Terminal view insert,Alt+G,Terminal Typing Connected,org.eclipse.tm.terminal.command1
Search,Open Search Dialog,Ctrl+H,In Windows,org.eclipse.search.ui.openSearchDialog
Edit,Select Enclosing Element,Alt+Shift+Up,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.select.enclosing
Spy,Plug-in Menu Spy,Alt+Shift+F2,In Dialogs and Windows,org.eclipse.pde.runtime.spy.commands.menuSpyCommand
Source,Quick Assist - Assign to field,"Ctrl+2, F",Editing Java Source,org.eclipse.jdt.ui.correction.assignToField.assist
Edit,Cut,Ctrl+X,In Dialogs and Windows,org.eclipse.ui.edit.cut
Source,Toggle Comment,Ctrl+/,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.toggle.comment
STS4,Goto Symbol,Ctrl+6,In Dialogs and Windows,org.springframework.tooling.ls.eclipse.gotosymbol.command
Source,Correct Indentation,Ctrl+I,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.indent
Window,(Re)debug,"Ctrl+Alt+Shift+B, D",In Windows,org.springframework.ide.eclipse.boot.dash.boot.dash.RedebugAction
Navigate,Go to Next Member,Ctrl+Shift+Down,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.goto.next.member
Terminal view commands,Terminal view insert,Alt+T,Terminal Typing Connected,org.eclipse.tm.terminal.command1
Views,Show View (Javadoc),"Alt+Shift+Q, J",In Windows,org.eclipse.ui.views.showView
Navigate,Previous Edit Location,Ctrl+Q,In Windows,org.eclipse.ui.edit.text.gotoLastEditPosition
Navigate,Open Declaration,F3,JavaScript View,org.eclipse.wst.jsdt.ui.edit.text.java.open.editor
Run/Debug,Run Gradle Test,"Ctrl+Alt+X, G",In Windows,org.eclipse.buildship.ui.shortcut.test.run
Run/Debug,Debug Ant Build,"Alt+Shift+D, Q",In Windows,org.eclipse.ant.ui.antShortcut.debug
Run/Debug,Debug Java Applet,"Alt+Shift+D, A",In Windows,org.eclipse.jdt.debug.ui.javaAppletShortcut.debug
Run/Debug,Debug JUnit Plug-in Test,"Alt+Shift+D, P",In Windows,org.eclipse.pde.ui.junitWorkbenchShortcut.debug
File,Save,Ctrl+S,In Windows,org.eclipse.ui.file.save
Navigate,Go to Matching Bracket,Ctrl+Shift+P,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.goto.matching.bracket
Text Editing,Select Previous Word,Ctrl+Shift+Left,Editing Text,org.eclipse.ui.edit.text.select.wordPrevious
Window,Toggle Split Editor (Horizontal),Ctrl+_,In Windows,org.eclipse.ui.window.splitEditor
Views,Show View (Package Explorer),"Alt+Shift+Q, P",In Windows,org.eclipse.ui.views.showView
Text Editing,Duplicate Lines,Ctrl+Alt+Up,Editing Text,org.eclipse.ui.edit.text.copyLineUp
Window,Previous Perspective,Ctrl+Shift+F8,In Windows,org.eclipse.ui.window.previousPerspective
Navigate,Open Type in Hierarchy,Ctrl+Shift+H,In Windows,org.eclipse.jdt.ui.navigate.open.type.in.hierarchy
Navigate,Show In Breadcrumb,Alt+Shift+B,Editor Breadcrumb Navigation,org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb
Run/Debug,Force Return,Alt+Shift+F,In Windows,org.eclipse.jdt.debug.ui.commands.ForceReturn
Language Servers,Format,Ctrl+Shift+F,Editing Text,org.eclipse.lsp4e.format
Edit,Find Previous,Ctrl+Shift+K,In Windows,org.eclipse.ui.edit.findPrevious
Navigate,Open Type Hierarchy,F4,JavaScript View,org.eclipse.wst.jsdt.ui.edit.text.java.open.type.hierarchy
Project,Build All,Ctrl+B,In Windows,org.eclipse.ui.project.buildAll
Navigate,Open Call Hierarchy,Ctrl+Alt+H,JavaScript View,org.eclipse.wst.jsdt.ui.edit.text.java.open.call.hierarchy
Source,Add Import,Ctrl+Shift+M,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.add.import
Run/Debug,All Instances,Ctrl+Shift+N,In Windows,org.eclipse.jdt.debug.ui.commands.AllInstances
Text Editing,To Lower Case,Ctrl+Shift+Y,Editing Text,org.eclipse.ui.edit.text.lowerCase
Terminal view commands,Terminal view insert,Alt+F,Terminal Typing Connected,org.eclipse.tm.terminal.command1
Window,Update Maven Project,Alt+F5,In Windows,org.eclipse.m2e.core.ui.command.updateProject
Run/Debug,Trigger Restart,Ctrl+R,In I/O Console,org.springframework.ide.eclipse.boot.restart.commands.restart
Source,Format,Ctrl+Shift+F,Editing Ant Buildfiles,org.eclipse.jdt.ui.edit.text.java.format
Edit,Next Sibling,Ctrl+Shift+Down,Editing in Structured Text Editors,org.eclipse.wst.xml.ui.nextSibling
Navigate,Next Sub-Tab,Alt+PageDown,In Dialogs and Windows,org.eclipse.ui.navigate.nextSubTab
Server,Run,Ctrl+Alt+R,In Servers View,org.eclipse.wst.server.run
Navigate,Open Structure,Ctrl+F3,Editing Java Source,org.eclipse.jdt.ui.navigate.java.open.structure
Edit,Find Next,Ctrl+K,In Windows,org.eclipse.ui.edit.findNext
Terminal view commands,Terminal view insert,Alt+S,Terminal Typing Connected,org.eclipse.tm.terminal.command1
Terminal view commands,Copy,Ctrl+Insert,Terminal Control in Focus,org.eclipse.tm.terminal.copy
Text Editing,Open Hyperlink,F3,in Generic Code Editor,org.eclipse.ui.edit.text.open.hyperlink
Run/Debug,Step Return,F7,Debugging,org.eclipse.debug.ui.commands.StepReturn
Refactor - Java,Inline,Alt+Shift+I,In Windows,org.eclipse.jdt.ui.edit.text.java.inline
Views,Show View (Outline),"Alt+Shift+Q, O",In Windows,org.eclipse.ui.views.showView
Navigate,Quick Outline,Ctrl+O,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.show.outline
Text Editing,Join Lines,Ctrl+Alt+J,Editing Text,org.eclipse.ui.edit.text.join.lines
Edit,Add Im&port,Ctrl+Shift+M,Editing JSP Source,org.eclipse.jst.jsp.ui.add.imports
File,Properties,Alt+Enter,In Windows,org.eclipse.ui.file.properties
Edit,Find and Replace,Ctrl+F,In Windows,org.eclipse.ui.edit.findReplace
Search,References in Workspace,Ctrl+Shift+G,JavaScript View,org.eclipse.wst.jsdt.ui.edit.text.java.search.references.in.workspace
Source,Organize Imports,Ctrl+Shift+O,In Windows,org.eclipse.jdt.ui.edit.text.java.organize.imports
Run/Debug,Add Memory Block,Ctrl+Alt+M,In Memory View,org.eclipse.debug.ui.commands.addMemoryMonitor
Run/Debug,Previous Page of Memory,"Ctrl+Shift+,",In Table Memory Rendering,org.eclipse.debug.ui.command.prevpage
YEdit,Format,Ctrl+Shift+F,YEdit editor context,org.dadacoalition.yedit.command.formatDocument
Edit,Quick Fix,Ctrl+1,In Dialogs and Windows,org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals
Navigate,Open Maven POM,Alt+Shift+P,In Windows,org.eclipse.m2e.core.ui.command.openPom
Run/Debug,Debug OSGi Framework,"Alt+Shift+D, O",In Windows,org.eclipse.pde.ui.EquinoxLaunchShortcut.debug
Spring Generic Text Editor,Toggle Comment,Ctrl+Shift+C,Editing Text,org.springframework.tooling.boot.ls.ToggleComment
Window,Previous Editor,Ctrl+Shift+F6,In Windows,org.eclipse.ui.window.previousEditor
Source,Quick Assist - Rename in file,"Ctrl+2, R",Editing JavaScript Source,org.eclipse.wst.jsdt.ui.correction.renameInFile.assist
Refactor - Java,Move - Refactoring ,Alt+Shift+V,In Windows,org.eclipse.jdt.ui.edit.text.java.move.element
Spy,Plug-in Selection Spy,Alt+Shift+F1,In Dialogs and Windows,org.eclipse.pde.runtime.spy.commands.spyCommand
File,Close All,Ctrl+Shift+F4,In Windows,org.eclipse.ui.file.closeAll
Run/Debug,Debug Spring Boot App,"Alt+Shift+D, B",In Windows,org.springsource.ide.eclipse.boot.BootLaunchShortcut.debug
Run/Debug,Run Ant Build,"Alt+Shift+X, Q",In Windows,org.eclipse.ant.ui.antShortcut.run
Source,Format,Ctrl+Shift+F,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.format
Language Servers,Go to Symbol in File,Ctrl+O,Editing Text,org.eclipse.lsp4e.symbolinfile
Run/Debug,Resume,F8,Debugging,org.eclipse.debug.ui.commands.Resume
Text Editing,Line End,End,Editing Text,org.eclipse.ui.edit.text.goto.lineEnd
Terminal view commands,Paste,Shift+Insert,Terminal Control in Focus,org.eclipse.tm.terminal.paste
Edit,Paste,Shift+Insert,In Dialogs and Windows,org.eclipse.ui.edit.paste
Terminal view commands,Terminal view insert,Alt+W,Terminal Typing Connected,org.eclipse.tm.terminal.command1
Edit,Incremental Find Reverse,Ctrl+Shift+J,Editing Text,org.eclipse.ui.edit.findIncrementalReverse
Spy,Layout Spy,Ctrl+Alt+Shift+F9,In Dialogs and Windows,org.eclipse.tools.layout.spy.commands.layoutSpyCommand
Window,Select Maven Profiles,Ctrl+Alt+P,In Windows,org.eclipse.m2e.profiles.ui.commands.selectMavenProfileCommand
